nume_0,utilizator_0,parola_0,adr_dom_0,adr_cores_0,tel_0,profesor
nume_1,utilizator_1,parola_1,adr_dom_1,adr_cores_1,tel_1,profesor
nume_2,utilizator_2,parola_2,adr_dom_2,adr_cores_2,tel_2,profesor
nume_3,utilizator_3,parola_3,adr_dom_3,adr_cores_3,tel_3,profesor
nume_4,utilizator_4,parola_4,adr_dom_4,adr_cores_4,tel_4,profesor
nume_5,utilizator_5,parola_5,adr_dom_5,adr_cores_5,tel_5,profesor
nume_6,utilizator_6,parola_6,adr_dom_6,adr_cores_6,tel_6,profesor
nume_7,utilizator_7,parola_7,adr_dom_7,adr_cores_7,tel_7,profesor
nume_8,utilizator_8,parola_8,adr_dom_8,adr_cores_8,tel_8,profesor
nume_9,utilizator_9,parola_9,adr_dom_9,adr_cores_9,tel_9,profesor
nume_10,utilizator_10,parola_10,adr_dom_10,adr_cores_10,tel_10,profesor
nume_11,utilizator_11,parola_11,adr_dom_11,adr_cores_11,tel_11,profesor
nume_12,utilizator_12,parola_12,adr_dom_12,adr_cores_12,tel_12,profesor
nume_13,utilizator_13,parola_13,adr_dom_13,adr_cores_13,tel_13,profesor
nume_14,utilizator_14,parola_14,adr_dom_14,adr_cores_14,tel_14,profesor
nume_15,utilizator_15,parola_15,adr_dom_15,adr_cores_15,tel_15,profesor
nume_16,utilizator_16,parola_16,adr_dom_16,adr_cores_16,tel_16,profesor
nume_17,utilizator_17,parola_17,adr_dom_17,adr_cores_17,tel_17,profesor
nume_18,utilizator_18,parola_18,adr_dom_18,adr_cores_18,tel_18,profesor
nume_19,utilizator_19,parola_19,adr_dom_19,adr_cores_19,tel_19,profesor
nume_20,utilizator_20,parola_20,adr_dom_20,adr_cores_20,tel_20,profesor
nume_21,utilizator_21,parola_21,adr_dom_21,adr_cores_21,tel_21,profesor
nume_22,utilizator_22,parola_22,adr_dom_22,adr_cores_22,tel_22,profesor
nume_23,utilizator_23,parola_23,adr_dom_23,adr_cores_23,tel_23,profesor
nume_24,utilizator_24,parola_24,adr_dom_24,adr_cores_24,tel_24,profesor
nume_25,utilizator_25,parola_25,adr_dom_25,adr_cores_25,tel_25,profesor
nume_26,utilizator_26,parola_26,adr_dom_26,adr_cores_26,tel_26,profesor
nume_27,utilizator_27,parola_27,adr_dom_27,adr_cores_27,tel_27,profesor
nume_28,utilizator_28,parola_28,adr_dom_28,adr_cores_28,tel_28,profesor
nume_29,utilizator_29,parola_29,adr_dom_29,adr_cores_29,tel_29,profesor
nume_30,utilizator_30,parola_30,adr_dom_30,adr_cores_30,tel_30,profesor
nume_31,utilizator_31,parola_31,adr_dom_31,adr_cores_31,tel_31,profesor
nume_32,utilizator_32,parola_32,adr_dom_32,adr_cores_32,tel_32,profesor
nume_33,utilizator_33,parola_33,adr_dom_33,adr_cores_33,tel_33,profesor
nume_34,utilizator_34,parola_34,adr_dom_34,adr_cores_34,tel_34,profesor
nume_35,utilizator_35,parola_35,adr_dom_35,adr_cores_35,tel_35,profesor
nume_36,utilizator_36,parola_36,adr_dom_36,adr_cores_36,tel_36,profesor
nume_37,utilizator_37,parola_37,adr_dom_37,adr_cores_37,tel_37,profesor
nume_38,utilizator_38,parola_38,adr_dom_38,adr_cores_38,tel_38,profesor
nume_39,utilizator_39,parola_39,adr_dom_39,adr_cores_39,tel_39,profesor
nume_40,utilizator_40,parola_40,adr_dom_40,adr_cores_40,tel_40,profesor
nume_41,utilizator_41,parola_41,adr_dom_41,adr_cores_41,tel_41,profesor
nume_42,utilizator_42,parola_42,adr_dom_42,adr_cores_42,tel_42,profesor
nume_43,utilizator_43,parola_43,adr_dom_43,adr_cores_43,tel_43,profesor
nume_44,utilizator_44,parola_44,adr_dom_44,adr_cores_44,tel_44,profesor
nume_45,utilizator_45,parola_45,adr_dom_45,adr_cores_45,tel_45,profesor
nume_46,utilizator_46,parola_46,adr_dom_46,adr_cores_46,tel_46,profesor
nume_47,utilizator_47,parola_47,adr_dom_47,adr_cores_47,tel_47,profesor
nume_48,utilizator_48,parola_48,adr_dom_48,adr_cores_48,tel_48,profesor
nume_49,utilizator_49,parola_49,adr_dom_49,adr_cores_49,tel_49,profesor
nume_50,utilizator_50,parola_50,adr_dom_50,adr_cores_50,tel_50,profesor
nume_51,utilizator_51,parola_51,adr_dom_51,adr_cores_51,tel_51,profesor
nume_52,utilizator_52,parola_52,adr_dom_52,adr_cores_52,tel_52,profesor
nume_53,utilizator_53,parola_53,adr_dom_53,adr_cores_53,tel_53,profesor
nume_54,utilizator_54,parola_54,adr_dom_54,adr_cores_54,tel_54,profesor
nume_55,utilizator_55,parola_55,adr_dom_55,adr_cores_55,tel_55,profesor
nume_56,utilizator_56,parola_56,adr_dom_56,adr_cores_56,tel_56,profesor
nume_57,utilizator_57,parola_57,adr_dom_57,adr_cores_57,tel_57,profesor
nume_58,utilizator_58,parola_58,adr_dom_58,adr_cores_58,tel_58,profesor
nume_59,utilizator_59,parola_59,adr_dom_59,adr_cores_59,tel_59,profesor
nume_60,utilizator_60,parola_60,adr_dom_60,adr_cores_60,tel_60,profesor
nume_61,utilizator_61,parola_61,adr_dom_61,adr_cores_61,tel_61,profesor
nume_62,utilizator_62,parola_62,adr_dom_62,adr_cores_62,tel_62,profesor
nume_63,utilizator_63,parola_63,adr_dom_63,adr_cores_63,tel_63,profesor
nume_64,utilizator_64,parola_64,adr_dom_64,adr_cores_64,tel_64,profesor
nume_65,utilizator_65,parola_65,adr_dom_65,adr_cores_65,tel_65,profesor
nume_66,utilizator_66,parola_66,adr_dom_66,adr_cores_66,tel_66,profesor
nume_67,utilizator_67,parola_67,adr_dom_67,adr_cores_67,tel_67,profesor
nume_68,utilizator_68,parola_68,adr_dom_68,adr_cores_68,tel_68,profesor
nume_69,utilizator_69,parola_69,adr_dom_69,adr_cores_69,tel_69,profesor
nume_70,utilizator_70,parola_70,adr_dom_70,adr_cores_70,tel_70,profesor
nume_71,utilizator_71,parola_71,adr_dom_71,adr_cores_71,tel_71,profesor
nume_72,utilizator_72,parola_72,adr_dom_72,adr_cores_72,tel_72,profesor
nume_73,utilizator_73,parola_73,adr_dom_73,adr_cores_73,tel_73,profesor
nume_74,utilizator_74,parola_74,adr_dom_74,adr_cores_74,tel_74,profesor
nume_75,utilizator_75,parola_75,adr_dom_75,adr_cores_75,tel_75,profesor
nume_76,utilizator_76,parola_76,adr_dom_76,adr_cores_76,tel_76,profesor
nume_77,utilizator_77,parola_77,adr_dom_77,adr_cores_77,tel_77,profesor
nume_78,utilizator_78,parola_78,adr_dom_78,adr_cores_78,tel_78,profesor
nume_79,utilizator_79,parola_79,adr_dom_79,adr_cores_79,tel_79,profesor
nume_80,utilizator_80,parola_80,adr_dom_80,adr_cores_80,tel_80,profesor
nume_81,utilizator_81,parola_81,adr_dom_81,adr_cores_81,tel_81,profesor
nume_82,utilizator_82,parola_82,adr_dom_82,adr_cores_82,tel_82,profesor
nume_83,utilizator_83,parola_83,adr_dom_83,adr_cores_83,tel_83,profesor
nume_84,utilizator_84,parola_84,adr_dom_84,adr_cores_84,tel_84,profesor
nume_85,utilizator_85,parola_85,adr_dom_85,adr_cores_85,tel_85,profesor
nume_86,utilizator_86,parola_86,adr_dom_86,adr_cores_86,tel_86,profesor
nume_87,utilizator_87,parola_87,adr_dom_87,adr_cores_87,tel_87,profesor
